Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1999-01-22,0.4375,0.4882810115814209,0.38802099227905273,0.4101560115814209,0.3762877881526947,271468800.0,0.0,0.0
1999-01-25,0.44270798563957214,0.45833298563957214,0.4101560115814209,0.453125,0.41570863127708435,51048000.0,0.0,0.0
1999-01-26,0.45833298563957214,0.46744799613952637,0.41145798563957214,0.4179689884185791,0.3834556043148041,34320000.0,0.0,0.0
1999-01-27,0.41927099227905273,0.4296880066394806,0.39583298563957214,0.41666701436042786,0.38226112723350525,24436800.0,0.0,0.0
1999-01-28,0.41666701436042786,0.41927099227905273,0.4127599895000458,0.4153650104999542,0.38106659054756165,22752000.0,0.0,0.0
1999-01-29,0.4153650104999542,0.41666701436042786,0.39583298563957214,0.39583298563957214,0.36314746737480164,24403200.0,0.0,0.0
1999-02-01,0.39583298563957214,0.40625,0.39583298563957214,0.40364599227905273,0.3703153133392334,15470400.0,0.0,0.0
1999-02-02,0.39583298563957214,0.40625,0.36067700386047363,0.37239599227905273,0.3416457176208496,26409600.0,0.0,0.0
1999-02-03,0.3671880066394806,0.38541701436042786,0.36458298563957214,0.38020798563957214,0.34881263971328735,7512000.0,0.0,0.0
1999-02-04,0.38541701436042786,0.41145798563957214,0.38020798563957214,0.40104201436042786,0.36792632937431335,18192000.0,0.0,0.0
1999-02-05,0.40755200386047363,0.41666701436042786,0.3971349895000458,0.4127599895000458,0.37867677211761475,13684800.0,0.0,0.0
1999-02-08,0.4153650104999542,0.41666701436042786,0.3984380066394806,0.3984380066394806,0.3655373156070709,15408000.0,0.0,0.0
1999-02-09,0.40625,0.40885400772094727,0.37760400772094727,0.3828130066394806,0.3512025773525238,8697600.0,0.0,0.0
1999-02-10,0.3828130066394806,0.39322900772094727,0.37239599227905273,0.3789060115814209,0.34761810302734375,14822400.0,0.0,0.0
1999-02-11,0.38020798563957214,0.42708298563957214,0.38020798563957214,0.41145798563957214,0.37748217582702637,13224000.0,0.0,0.0
1999-02-12,0.41666701436042786,0.4375,0.41666701436042786,0.43489599227905273,0.39898481965065,10972800.0,0.0,0.0
1999-02-16,0.44270798563957214,0.4609380066394806,0.39322900772094727,0.4375,0.4013737738132477,21100800.0,0.0,0.0
1999-02-17,0.42708298563957214,0.43229201436042786,0.40625,0.4140630066394806,0.3798721432685852,6772800.0,0.0,0.0
1999-02-18,0.42708298563957214,0.43229201436042786,0.40885400772094727,0.42057299613952637,0.3858444392681122,7070400.0,0.0,0.0
1999-02-19,0.41666701436042786,0.44270798563957214,0.41145798563957214,0.43489599227905273,0.39898481965065,7536000.0,0.0,0.0
1999-02-22,0.44270798563957214,0.44791701436042786,0.4140630066394806,0.4375,0.4013737738132477,20524800.0,0.0,0.0
1999-02-23,0.44791701436042786,0.46744799613952637,0.421875,0.45833298563957214,0.4204864799976349,13809600.0,0.0,0.0
1999-02-24,0.5260419845581055,0.546875,0.48307299613952637,0.49479201436042786,0.4539349675178528,61276800.0,0.0,0.0
1999-02-25,0.515625,0.53125,0.47135400772094727,0.47916701436042786,0.43960022926330566,14913600.0,0.0,0.0
1999-02-26,0.484375,0.5,0.453125,0.4570310115814209,0.41929203271865845,17260800.0,0.0,0.0
1999-03-01,0.46875,0.47916701436042786,0.4375,0.4596349895000458,0.4216810464859009,9216000.0,0.0,0.0
1999-03-02,0.45833298563957214,0.4609380066394806,0.44791701436042786,0.45572900772094727,0.418097585439682,5524800.0,0.0,0.0
1999-03-03,0.45833298563957214,0.45833298563957214,0.421875,0.42447900772094727,0.389428049325943,6139200.0,0.0,0.0
1999-03-04,0.4453130066394806,0.44791701436042786,0.41145798563957214,0.4153650104999542,0.38106659054756165,5736000.0,0.0,0.0
1999-03-05,0.41927099227905273,0.44010400772094727,0.41927099227905273,0.43880200386047363,0.4025682806968689,7876800.0,0.0,0.0
1999-03-08,0.42708298563957214,0.45833298563957214,0.41927099227905273,0.4453130066394806,0.408541738986969,7588800.0,0.0,0.0
1999-03-09,0.4440099895000458,0.46614599227905273,0.4440099895000458,0.4596349895000458,0.4216810464859009,14318400.0,0.0,0.0
1999-03-10,0.46614599227905273,0.46614599227905273,0.4453130066394806,0.45182299613952637,0.41451403498649597,23534400.0,0.0,0.0
1999-03-11,0.4440099895000458,0.45182299613952637,0.43229201436042786,0.43229201436042786,0.39659586548805237,5428800.0,0.0,0.0
1999-03-12,0.43489599227905273,0.43489599227905273,0.41666701436042786,0.42447900772094727,0.389428049325943,9076800.0,0.0,0.0
