Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-06-08,104.16798336405151,107.14421146016726,104.16798336405151,105.65609741210938,499150000,0.0,0.0
2004-06-09,105.65605915917291,108.63228617774116,104.16794564988878,107.14417266845703,294290000,0.0,0.0
2004-06-10,107.14417266845703,107.14417266845703,105.65605915917291,107.14417266845703,165590000,0.0,0.0
2004-06-11,105.65605915917291,107.14417266845703,105.65605915917291,107.14417266845703,135830000,0.0,0.0
2004-06-14,107.14421146016726,107.14421146016726,104.16798336405151,105.65609741210938,158540000,0.0,0.0
2004-06-15,104.16796017999518,108.6323013305664,104.16796017999518,108.6323013305664,297620000,0.0,0.0
2004-06-16,108.63228617774116,108.63228617774116,105.65605915917291,107.14417266845703,104270000,0.0,0.0
2004-06-17,105.65609741210938,105.65609741210938,104.16798336405151,105.65609741210938,350150000,0.0,0.0
2004-06-18,104.16798336405151,105.65609741210938,104.16798336405151,105.65609741210938,263260000,0.0,0.0
2004-06-21,105.65609741210938,105.65609741210938,104.16798336405151,105.65609741210938,331870000,0.0,0.0
2004-06-22,105.65609741210938,107.14421146016726,105.65609741210938,105.65609741210938,56870000,0.0,0.0
2004-06-23,107.14417266845703,107.14417266845703,105.65605915917291,107.14417266845703,469190000,0.0,0.0
2004-06-24,107.14417266845703,107.14417266845703,105.65605915917291,107.14417266845703,191310000,0.0,0.0
2004-06-25,107.14418761370933,108.6323013305664,107.14418761370933,108.6323013305664,154310000,0.0,0.0
2004-06-28,108.6323013305664,108.6323013305664,107.14418761370933,108.6323013305664,260860000,0.0,0.0
2004-06-29,108.63232360015044,110.12043762207031,108.63232360015044,110.12043762207031,123060000,0.0,0.0
2004-06-30,110.12039184570312,111.60850524902344,108.63227844238281,111.60850524902344,291260000,0.0,0.0
2004-07-01,121.75477449658892,121.75477449658892,118.37269742723922,120.06373596191406,203090000,22.5,0.0
2004-07-02,120.063722398546,121.7547607421875,120.063722398546,121.7547607421875,490800000,0.0,0.0
2004-07-05,121.7547607421875,121.7547607421875,121.7547607421875,121.7547607421875,0,0.0,0.0
2004-07-06,123.4457743326823,126.82785034179688,121.754736328125,126.82785034179688,826610000,0.0,0.0
2004-07-07,125.13681233723959,128.51888834635417,123.4457743326823,126.82785034179688,382570000,0.0,0.0
2004-07-08,126.82785034179688,128.51888834635417,125.13681233723959,126.82785034179688,284740000,0.0,0.0
2004-07-09,125.13684403268914,128.5189208984375,125.13684403268914,128.5189208984375,381140000,0.0,0.0
2004-07-12,128.5189208984375,131.90099776418586,126.82788246556332,128.5189208984375,478410000,0.0,0.0
2004-07-13,128.51890742314328,130.20994567871094,126.82786916757559,130.20994567871094,133420000,0.0,0.0
2004-07-14,128.51888834635417,128.51888834635417,125.13681233723959,126.82785034179688,243420000,0.0,0.0
2004-07-15,125.13681233723959,126.82785034179688,123.4457743326823,126.82785034179688,134890000,0.0,0.0
2004-07-16,125.13684403268914,128.5189208984375,125.13684403268914,128.5189208984375,140620000,0.0,0.0
2004-07-19,126.82788246556332,128.5189208984375,126.82788246556332,128.5189208984375,43940000,0.0,0.0
2004-07-20,126.82788246556332,128.5189208984375,126.82788246556332,128.5189208984375,168890000,0.0,0.0
2004-07-21,126.82788246556332,128.5189208984375,126.82788246556332,128.5189208984375,162420000,0.0,0.0
2004-07-22,126.82788246556332,128.5189208984375,126.82788246556332,128.5189208984375,61730000,0.0,0.0
2004-07-23,126.82788246556332,128.5189208984375,126.82788246556332,128.5189208984375,15670000,0.0,0.0
